acks_to_send_,messages_to_send_,messages_delivered_
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,6,0
0,6,0
0,6,0
0,6,0
0,6,0
0,6,0
0,6,0
0,6,0
2,6,2
0,6,0
2,6,2
0,8,0
5,8,5
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,8,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,106,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,110,0
0,111,0
0,112,0
0,112,0
0,112,0
0,112,0
0,112,0
0,112,0
0,112,0
0,113,0
0,114,0
0,114,0
82,114,82
2,114,2
4,114,4
2,114,2
112,114,112
35,114,35
2,114,2
52,114,52
2,114,2
4,114,4
11,114,11
114,114,114
110,114,110
2,114,2
114,114,114
37,114,37
78,108,80
98,108,114
108,108,110
106,106,112
109,106,114
86,106,106
110,106,112
110,114,114
112,114,114
24,114,24
110,114,114
114,114,114
114,114,114
114,114,114
2,114,2
0,114,114
0,114,12
0,114,114
0,114,2
0,114,6
0,114,12
41,114,67
112,114,114
0,114,114
0,114,97
0,114,2
52,114,75
0,114,112
0,114,114
0,114,23
0,114,108
74,114,114
0,116,29
82,116,114
0,116,114
0,116,114
0,116,114
112,116,116
77,116,77
112,116,114
0,116,0
116,116,116
0,116,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,118,0
0,119,0
0,120,0
0,121,0
0,121,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,122,0
0,123,0
0,123,0
0,126,0
0,126,0
0,126,0
0,126,0
0,126,0
0,126,0
0,126,0
0,127,0
0,127,0
0,129,0
0,130,0
0,130,0
0,130,0
0,135,0
0,135,0
0,135,0
0,135,0
0,135,0
0,135,0
0,139,0
0,139,0
0,139,0
0,139,0
0,139,0
0,139,0
0,139,0
0,140,0
50,147,50
0,147,0
0,147,0
139,147,139
0,147,1
131,147,131
0,147,126
82,147,137
0,147,2
0,147,0
0,148,145
0,148,128
0,35,127
0,35,126
0,35,139
0,35,126
0,149,126
0,35,126
0,35,114
0,35,128
0,149,126
0,155,114
0,41,139
0,155,118
0,41,118
0,41,139
0,102,114
0,155,120
0,150,130
0,74,115
0,46,118
0,46,139
0,46,134
0,152,126
0,55,126
0,55,122
0,169,129
0,103,139
0,55,118
0,170,139
0,176,114
0,62,140
0,62,145
33,176,159
0,62,139
0,176,114
0,177,139
0,193,139
0,85,114
0,85,114
28,85,167
0,199,114
0,85,118
0,85,129
0,85,139
0,85,133
0,86,118
0,90,143
0,90,116
30,90,156
0,204,116
0,88,127
0,88,130
0,155,114
0,88,114
0,88,116
0,204,140
0,88,118
0,88,118
0,88,139
0,204,131
0,219,0
0,219,0
0,219,0
0,219,0
0,219,0
0,219,0
0,219,0
0,219,0
0,219,0
0,221,0
0,221,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
0,223,2
0,223,0
2,223,2
0,223,0
0,223,0
0,223,0
0,223,214
0,223,0
0,223,0
0,223,0
0,223,0
0,223,0
221,223,221
0,136,141
0,223,0
0,224,50
0,225,191
0,225,154
0,225,173
0,78,60
88,163,219
0,226,126
0,226,137
0,80,98
0,227,0
0,227,145
0,78,162
0,113,199
93,113,219
0,78,139
0,113,126
0,78,143
0,78,126
0,113,114
0,78,128
0,149,126
0,227,114
0,72,139
108,87,222
0,113,118
83,72,222
0,174,114
0,155,120
0,224,130
68,144,183
0,70,118
0,70,206
0,116,134
