own_pending_for_broadcast_,delivered_,pending_for_delivery_,acks_
93,0,2,0
125,0,112,112
125,0,114,114
125,0,115,115
125,0,126,126
125,0,126,126
125,0,126,126
125,0,128,128
125,0,129,129
125,0,134,134
125,0,140,140
125,0,141,141
125,0,142,142
125,0,149,149
125,0,156,156
125,0,156,156
125,0,159,159
125,0,169,169
125,0,180,180
125,14,174,188
123,104,98,200
123,123,80,203
123,126,77,200
123,126,80,203
123,128,84,212
123,132,84,212
123,132,85,213
123,132,120,248
123,132,128,260
123,132,129,261
123,132,129,261
123,132,149,281
123,134,149,283
123,141,145,281
123,143,149,285
123,143,154,297
123,149,149,292
123,149,150,299
123,149,170,319
123,152,180,332
123,156,176,332
123,157,178,335
123,163,176,333
123,163,179,336
123,163,181,344
123,165,180,345
123,168,183,348
123,168,183,348
123,168,183,348
123,168,183,348
123,168,191,356
123,168,191,356
123,168,191,356
123,168,204,372
123,168,204,372
123,168,204,372
123,168,210,378
123,168,211,379
123,168,223,391
123,168,223,391
123,168,224,392
123,168,228,396
123,168,228,396
123,171,225,393
123,171,225,393
123,171,225,396
123,172,224,395
123,172,224,395
123,172,224,395
123,172,224,395
123,172,224,395
123,172,224,395
123,172,225,396
123,172,226,398
123,173,226,398
123,173,226,398
123,173,228,401
123,175,226,399
123,175,228,403
123,178,225,400
123,178,225,400
123,178,226,401
123,178,230,408
123,178,231,409
123,180,229,407
123,180,229,407
123,180,234,414
123,180,235,415
123,180,235,415
123,180,240,420
123,182,243,425
123,188,238,426
123,192,237,429
121,226,207,430
121,256,177,402
121,256,177,432
121,280,154,409
121,280,154,409
121,280,154,409
121,280,156,431
121,284,152,427
121,284,154,437
121,286,153,436
121,286,160,443
121,292,159,442
121,292,163,452
121,292,166,455
121,296,163,456
121,300,162,461
121,316,148,463
121,332,132,463
121,334,139,472
121,336,139,474
121,354,124,477
121,392,86,477
121,396,83,478
121,396,83,478
121,396,83,478
121,396,84,479
121,396,84,479
121,396,85,480
121,396,85,480
121,396,88,483
121,396,94,489
121,396,96,491
121,396,98,493
121,396,102,497
121,398,109,504
121,398,110,505
121,398,111,508
121,401,109,506
121,401,111,508
121,401,111,508
121,401,111,508
121,401,111,508
121,401,111,508
121,401,113,513
121,401,131,531
121,405,133,537
121,425,116,520
121,426,115,519
121,426,117,524
121,427,116,523
121,427,116,523
121,427,116,523
121,427,123,530
121,427,128,549
121,429,130,553
121,429,130,553
121,429,135,558
121,429,136,559
121,429,136,559
121,429,137,560
121,429,138,566
121,430,137,565
121,430,140,568
121,430,141,570
119,432,141,570
119,453,122,574
119,453,123,575
119,457,120,572
119,457,121,577
119,457,122,578
119,457,123,579
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,122,578
119,459,123,581
119,459,123,581
119,459,123,581
119,459,123,581
119,459,123,581
119,459,123,581
119,459,123,581
119,459,141,599
119,459,141,599
119,459,141,599
119,459,142,600
119,459,142,600
119,459,142,600
119,459,142,600
119,459,142,600
119,459,142,600
119,459,142,600
119,459,147,605
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,160,618
119,459,161,619
119,459,161,619
119,459,161,619
119,459,161,619
119,459,161,619
119,459,161,619
119,459,161,619
119,459,161,619
119,459,168,626
119,459,168,626
119,459,168,626
119,459,168,626
119,459,171,629
119,459,172,630
119,459,172,630
119,459,172,630
119,459,175,633
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,176,634
119,459,180,638
119,459,206,664
119,460,205,664
119,462,204,663
119,462,205,666
119,467,201,662
119,467,201,662
119,467,201,662
119,467,202,663
119,467,202,663
119,467,202,663
119,467,202,663
119,467,202,663
119,467,207,668
119,467,207,672
119,467,207,673
119,473,201,673
119,476,203,675
119,476,203,678
119,477,203,678
119,477,205,681
119,477,205,681
119,477,206,682
119,489,194,670
119,489,195,671
119,489,196,679
119,491,194,677
119,491,195,678
119,491,198,683
119,493,199,691
119,493,199,691
119,493,199,691
119,493,199,691
119,493,199,691
119,493,200,692
119,493,203,695
119,494,202,694
119,494,203,695
119,494,207,700
119,503,198,691
119,503,199,701
119,505,199,703
119,509,195,703
119,511,193,703
119,518,186,703
119,532,172,703
119,549,155,699
119,554,151,695
119,554,151,695
119,554,151,695
119,554,151,695
119,554,151,695
119,554,153,702
119,559,149,698
119,559,151,705
119,563,147,701
119,563,147,701
119,563,152,706
119,563,153,711
119,570,146,704
119,570,146,704
119,570,146,704
119,570,146,704
119,570,146,704
119,570,150,715
119,591,133,698
119,591,135,725
117,614,116,713
117,625,110,733
117,628,107,733
117,638,98,724
117,638,98,724
117,638,100,736
117,647,92,728
117,647,92,728
117,647,102,738
117,647,102,738
117,647,108,753
117,657,100,755
117,663,95,750
117,663,95,750
117,663,95,750
117,663,96,757
117,664,100,762
117,664,101,763
117,664,101,763
117,664,114,776
117,670,108,773
117,671,108,773
117,671,108,773
117,671,108,773
117,671,111,779
117,671,111,779
117,671,119,787
117,671,120,789
