own_pending_for_broadcast_,delivered_,pending_for_delivery_,acks_,n_own_pending_for_delivery_,n_own_pending_delivery_ideal_
125,0,2,0,2,2
125,0,108,108,2,2
125,0,114,114,2,2
125,0,117,117,2,2
125,0,124,124,2,2
125,0,126,126,2,2
125,0,126,126,2,2
125,0,127,127,2,2
125,0,127,127,2,2
125,0,130,130,2,2
125,0,140,140,2,2
125,0,142,142,2,2
125,0,142,142,2,2
125,0,144,144,2,2
125,0,146,146,2,2
125,0,152,152,2,2
125,0,154,154,2,2
125,0,156,156,2,2
125,0,166,166,2,2
125,2,165,165,2,2
125,2,165,165,2,2
125,2,165,165,2,2
125,2,165,165,2,2
125,2,165,165,2,2
125,2,171,173,2,2
125,30,177,207,2,2
125,70,146,176,2,2
125,70,164,234,2,2
123,100,164,262,2,2
123,142,125,267,2,2
123,142,133,275,2,2
123,146,140,286,2,2
123,146,141,287,2,2
123,146,147,293,2,2
123,146,151,297,2,2
123,146,152,298,2,2
123,146,157,303,2,2
123,146,158,304,2,2
123,146,167,313,2,2
123,146,177,323,2,2
123,146,178,324,2,2
123,146,178,324,2,2
123,146,184,330,2,2
123,146,192,338,2,2
123,148,192,340,2,2
123,150,191,339,2,2
123,150,191,339,2,2
123,150,192,342,2,2
123,154,201,351,2,2
123,154,201,355,2,2
123,170,186,340,2,2
123,170,193,347,2,2
123,170,194,350,2,2
123,172,199,371,2,2
123,210,162,334,2,2
123,210,162,334,2,2
123,210,162,334,2,2
123,210,168,340,2,2
123,210,181,391,2,2
123,215,177,391,2,2
123,215,177,391,2,2
123,215,185,400,2,2
123,222,180,402,2,2
123,225,177,402,2,2
123,234,168,402,2,2
123,234,168,402,2,2
123,234,168,402,2,2
123,238,164,398,2,2
123,238,165,399,2,2
123,238,165,399,2,2
123,238,165,399,2,2
123,238,165,399,2,2
123,238,166,402,2,2
123,238,166,402,2,2
123,238,167,403,2,2
123,238,167,403,2,2
123,238,167,403,2,2
123,238,167,403,2,2
123,238,167,403,2,2
123,238,171,409,2,2
123,238,171,409,2,2
123,238,181,419,2,2
123,239,181,420,2,2
123,242,178,417,2,2
123,242,178,417,2,2
123,242,184,426,2,2
123,246,184,426,2,2
123,246,184,426,2,2
123,246,185,427,2,2
123,247,184,426,2,2
123,247,184,427,2,2
123,249,182,425,2,2
123,249,184,429,2,2
123,250,187,437,2,2
123,252,185,435,2,2
123,252,185,435,2,2
123,252,192,442,2,2
123,252,194,444,2,2
123,252,194,446,2,2
123,252,195,447,2,2
123,258,189,441,2,2
123,258,190,448,2,2
123,262,193,455,2,2
123,264,193,455,2,2
123,264,195,457,2,2
123,264,196,458,2,2
123,264,196,458,2,2
123,264,199,463,2,2
123,264,203,467,2,2
121,272,200,470,2,2
121,285,187,472,2,2
121,300,172,472,2,2
121,340,133,433,2,2
121,340,133,433,2,2
121,340,133,433,2,2
121,340,133,433,2,2
121,340,133,469,2,2
121,351,123,459,2,2
121,351,132,468,2,2
121,351,133,469,2,2
121,351,135,486,2,2
121,356,130,481,2,2
121,356,132,484,2,2
121,359,130,482,2,2
121,360,131,490,2,2
121,365,127,486,2,2
121,365,127,486,2,2
121,365,127,486,2,2
121,365,127,486,2,2
121,365,133,498,2,2
121,370,128,493,2,2
121,370,134,499,2,2
121,370,134,499,2,2
121,370,159,529,2,2
121,402,127,529,2,2
121,402,127,529,2,2
121,402,128,530,2,2
121,402,129,531,2,2
121,402,129,531,2,2
121,402,130,532,2,2
121,402,130,532,2,2
121,402,134,536,2,2
121,402,134,536,2,2
121,402,134,536,2,2
121,402,141,543,2,2
121,404,152,554,2,2
121,404,152,554,2,2
121,404,157,560,2,2
121,415,147,562,2,2
121,428,134,549,2,2
121,428,134,562,2,2
121,431,149,577,2,2
121,431,149,577,2,2
121,431,150,578,2,2
121,432,149,577,2,2
121,432,149,577,2,2
121,432,152,582,2,2
121,432,152,582,2,2
121,432,153,583,2,2
121,432,153,583,2,2
121,432,153,583,2,2
121,432,166,598,2,2
121,433,169,602,2,2
121,434,168,601,2,2
121,434,169,602,2,2
121,434,172,606,2,2
121,435,171,605,2,2
121,435,172,607,2,2
121,435,173,608,2,2
121,435,174,609,2,2
121,435,175,610,2,2
121,438,174,612,2,2
121,442,170,608,2,2
121,442,170,608,2,2
121,442,170,608,2,2
121,442,170,608,2,2
121,442,180,622,2,2
121,444,179,621,2,2
121,444,182,624,2,2
121,444,183,625,2,2
121,444,186,630,2,2
121,446,184,628,2,2
121,446,184,628,2,2
121,446,184,628,2,2
121,446,184,628,2,2
121,446,185,629,2,2
121,446,185,629,2,2
121,446,186,630,2,2
121,446,186,630,2,2
121,446,194,640,2,2
121,446,194,640,2,2
121,446,194,640,2,2
121,446,195,641,2,2
121,446,195,641,2,2
121,446,195,641,2,2
121,446,195,641,2,2
121,446,201,647,2,2
121,446,202,648,2,2
121,446,202,648,2,2
121,446,205,651,2,2
121,446,206,652,2,2
121,446,206,652,2,2
121,446,216,662,2,2
121,446,216,662,2,2
121,446,221,667,2,2
121,447,220,666,2,2
121,447,220,667,2,2
121,448,219,667,2,2
121,452,216,664,2,2
121,452,216,664,2,2
121,452,220,668,2,2
121,452,220,668,2,2
121,452,220,668,2,2
121,452,221,669,2,2
121,452,221,673,2,2
121,459,220,679,2,2
121,459,223,682,2,2
121,463,219,682,2,2
121,463,219,682,2,2
121,463,219,682,2,2
121,465,217,680,2,2
121,465,217,680,2,2
121,465,218,681,2,2
121,465,218,681,2,2
121,465,218,681,2,2
121,465,218,681,2,2
121,465,218,681,2,2
121,465,221,684,2,2
121,465,222,687,2,2
121,465,240,705,2,2
121,465,245,710,2,2
121,467,246,711,2,2
121,467,246,711,2,2
121,467,247,712,2,2
121,467,247,712,2,2
121,467,247,712,2,2
121,467,247,712,2,2
121,467,249,714,2,2
121,467,249,714,2,2
121,467,260,725,2,2
121,467,260,725,2,2
121,467,260,725,2,2
121,467,260,725,2,2
121,467,260,726,2,2
121,467,260,726,2,2
121,467,261,727,2,2
121,467,267,734,2,2
119,483,262,742,2,2
119,491,254,744,2,2
119,513,233,723,2,2
119,513,234,725,2,2
119,515,232,744,2,2
119,530,218,730,2,2
119,530,221,750,2,2
119,537,221,757,2,2
119,564,196,735,2,2
119,566,197,736,2,2
119,566,197,736,2,2
119,566,198,737,2,2
119,566,198,737,2,2
119,566,201,766,2,2
119,578,190,755,2,2
119,578,190,755,2,2
119,578,190,755,2,2
119,578,191,756,2,2
119,578,191,756,2,2
119,578,191,756,2,2
119,578,191,756,2,2
119,578,191,756,2,2
119,578,191,756,2,2
119,578,192,769,2,2
119,585,185,762,2,2
119,585,202,786,2,2
119,585,203,787,2,2
119,585,203,787,2,2
119,585,203,787,2,2
119,585,203,787,2,2
119,585,214,798,2,2
119,585,214,798,2,2
119,585,215,799,2,2
119,585,215,799,2,2
119,585,215,799,2,2
119,585,216,800,2,2
119,587,218,804,2,2
119,595,216,806,2,2
119,597,214,804,2,2
119,597,214,804,2,2
119,597,214,810,2,2
119,606,206,802,2,2
119,606,210,815,2,2
119,609,209,814,2,2
119,609,212,820,2,2
119,609,213,821,2,2
119,609,213,821,2,2
119,609,216,824,2,2
119,611,214,822,2,2
119,611,221,830,2,2
119,611,225,834,2,2
119,611,226,835,2,2
119,611,236,845,2,2
119,611,238,847,2,2
119,614,240,849,2,2
119,614,240,853,2,2
119,622,232,845,2,2
119,622,235,856,2,2
119,625,233,854,2,2
119,625,237,858,2,2
119,625,237,861,2,2
119,627,236,862,2,2
119,634,229,855,2,2
119,634,231,857,2,2
119,634,231,857,2,2
119,634,233,863,2,2
119,641,227,857,2,2
119,641,227,857,2,2
119,641,227,857,2,2
119,641,227,857,2,2
119,641,231,861,2,2
119,641,232,862,2,2
119,641,232,862,2,2
119,641,232,862,2,2
119,641,241,881,2,2
119,663,224,886,2,2
119,663,226,888,2,2
